País,Clics,Impresiones,CTR,Posición
Ecuador,22,226,9.73%,5.46
Estados Unidos,0,56,0%,25.43
España,0,55,0%,47.62
México,0,17,0%,34.12
Brasil,0,10,0%,14.4
Canadá,0,6,0%,7.67
Reino Unido,0,5,0%,37.6
Colombia,0,5,0%,44.2
La India,0,4,0%,22.75
Arabia Saudí,0,2,0%,2
Turquía,0,2,0%,5
Corea del Sur,0,2,0%,6.5
Tailandia,0,2,0%,14.5
Vietnam,0,2,0%,19.5
Guatemala,0,2,0%,47
Panamá,0,2,0%,70
Chile,0,1,0%,1
Alemania,0,1,0%,2
Filipinas,0,1,0%,2
Sudáfrica,0,1,0%,3
Puerto Rico,0,1,0%,5
Andorra,0,1,0%,7
Singapur,0,1,0%,8
Georgia,0,1,0%,9
Perú,0,1,0%,10
Venezuela,0,1,0%,10
Francia,0,1,0%,11
Kenia,0,1,0%,11
Nicaragua,0,1,0%,15
Rusia,0,1,0%,16
Indonesia,0,1,0%,17
Kuwait,0,1,0%,20
Argelia,0,1,0%,29
Israel,0,1,0%,40
Costa Rica,0,1,0%,89