Keyword,Nueva Categoría,Currency,Avg. monthly searches,Cambio en tres meses,Cambio interanual,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
10 estrategias empresariales,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,3,nan,nan,
agencia de seo para pymes,Marketing y Ventas Digitales,USD,50,-100%,-100%,Desconocida,nan,nan,nan
agencia seo para pymes,Marketing y Ventas Digitales,USD,500,%0%,Media,43,nan,nan,
artesanos negocio,Estrategia y Planificación Empresarial,USD,nan,Desconocida,nan,nan,nan,nan,
autoconocimiento para emprendedores,Propósito y Mentalidad,USD,nan,Desconocida,nan,nan,nan,nan,
automatizacion de marketing,Automatización de Procesos,USD,5000%,0%,Baja,16,0.4,1.92,
automatización de marketing,Automatización de Procesos,USD,5000%,0%,Baja,16,0.4,1.92,
automatización de marketing digital,Automatización de Procesos,USD,500,%0%,Media,43,0.43,2.01,
automatización de marketing ejemplos,Automatización de Procesos,USD,500,%0%,Baja,24,0.27,1.16,
automatización de marketing móvil,Automatización de Procesos,USD,50,∞,0%,Baja,0,nan,nan
automatización de marketing pymes,Automatización de Procesos,USD,nan,Desconocida,nan,nan,nan,nan,
automatización del marketing ejemplos,Automatización de Procesos,USD,500,%0%,Baja,7,nan,nan,
automatización del marketing móvil,Automatización de Procesos,USD,500,%-100%,Desconocida,nan,nan,nan,
automatización del marketing pdf,Automatización de Procesos,USD,500,%∞,Baja,0,nan,nan,
automatización en marketing,Automatización de Procesos,USD,500,%0%,Baja,13,0.35,1.79,
automatizacion marketing,Automatización de Procesos,USD,5000%,0%,Baja,15,0.38,1.86,
automatizacion marketing digital,Automatización de Procesos,USD,500,%0%,Media,46,0.27,1.33,
automatización marketing digital,Automatización de Procesos,USD,500,%0%,Media,46,0.27,1.33,
ayudame a tomar la decision correcta,Liderazgo y Toma de Decisiones,USD,500,%0%,Baja,0,nan,nan,
blog estrategia empresarial,Estrategia y Planificación Empresarial,USD,500,%0%,Desconocida,nan,nan,nan,
canal youtube desarrollo personal y negocio,Marketing y Ventas Digitales,USD,nan,Desconocida,nan,nan,nan,nan,
como hacer crecer mi empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Alta,77,0.3,1.22,
cómo hacer crecer mi empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Alta,77,0.3,1.22,
cómo hacer crecer mi pyme,Estrategia y Planificación Empresarial,USD,nan,Desconocida,nan,nan,nan,nan,
como hacer crecer tu empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Alta,76,0.27,1.19,
cómo hacer crecer una empresa,Estrategia y Planificación Empresarial,USD,5000%,0%,Media,38,0.12,0.61,
como hacer que mi empresa crezca,Estrategia y Planificación Empresarial,USD,500,%0%,Media,65,0.12,0.6,
como hacer que tu empresa crezca,Estrategia y Planificación Empresarial,USD,500,%0%,Media,51,0.08,0.88,
consultor seo para pymes,Marketing y Ventas Digitales,USD,500,%-100%,Desconocida,nan,nan,nan,
contabilidad profesionales independientes,Propósito y Mentalidad,USD,50,-100%,-100%,Desconocida,nan,nan,nan
contabilidad servicios profesionales independientes,Propósito y Mentalidad,USD,500,%0%,Desconocida,nan,nan,nan,
contenido de moda,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
contenido de poco valor adsense,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
contenido de valor,Marketing y Ventas Digitales,USD,5000%,0%,Baja,1,0.07,0.38,
contenido de valor de facebook,Marketing y Ventas Digitales,USD,50,-100%,0%,Desconocida,nan,nan,nan
contenido de valor ejemplo,Marketing y Ventas Digitales,USD,5000%,-90%,Baja,1,nan,nan,
contenido de valor en facebook,Marketing y Ventas Digitales,USD,50,-100%,-100%,Desconocida,nan,nan,nan
contenido de valor en redes sociales,Marketing y Ventas Digitales,USD,5000%,0%,Baja,11,0.16,0.63,
contenido de valor en redes sociales ejemplos,Marketing y Ventas Digitales,USD,500,%0%,Baja,20,0.09,0.62,
contenido de valor inmobiliario,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
contenido de valor marketing,Marketing y Ventas Digitales,USD,500,%0%,Baja,9,nan,nan,
contenido de valor marketing digital,Marketing y Ventas Digitales,USD,500,%0%,Media,37,nan,nan,
contenido de valor negocios,Marketing y Ventas Digitales,USD,nan,Desconocida,nan,nan,nan,nan,
contenido de valor para emprendedores,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
contenido de valor para facebook,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
contenido de valor para inmobiliarias,Marketing y Ventas Digitales,USD,500,%0%,Baja,21,nan,nan,
contenido de valor para instagram ejemplos,Marketing y Ventas Digitales,USD,500,%-100%,Desconocida,nan,nan,nan,
contenido de valor para redes sociales,Marketing y Ventas Digitales,USD,500,%0%,Baja,9,nan,nan,
contenido de valor para redes sociales ejemplos,Marketing y Ventas Digitales,USD,500,%0%,Baja,29,nan,nan,
contenido de valor para restaurantes,Marketing y Ventas Digitales,USD,50,-100%,-100%,Desconocida,nan,nan,nan
contenido de valor que es,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
contenido de valor redes sociales,Marketing y Ventas Digitales,USD,500,%0%,Baja,8,nan,nan,
contenidos de valor en marketing,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
crear contenido de valor,Marketing y Ventas Digitales,USD,500,%0%,Baja,10,nan,nan,
crear pagina web de venta online,Marketing y Ventas Digitales,USD,500,%0%,Alta,77,1.26,4.5,
crear pagina web de venta online gratis,Marketing y Ventas Digitales,USD,50,∞,∞,Alta,86,nan,nan
crear pagina web de ventas,Marketing y Ventas Digitales,USD,500,%0%,Alta,88,1.17,6.89,
crear pagina web de ventas gratis,Marketing y Ventas Digitales,USD,500,%0%,Alta,88,0.34,3.54,
crear pagina web para tienda online,Marketing y Ventas Digitales,USD,500,%0%,Alta,86,nan,nan,
crear pagina web para venta online,Marketing y Ventas Digitales,USD,500,%0%,Alta,80,0.69,5.99,
crear pagina web para venta online gratis,Marketing y Ventas Digitales,USD,500,%0%,Alta,100,nan,nan,
crear pagina web para ventas,Marketing y Ventas Digitales,USD,5000%,0%,Alta,72,1.16,7.03,
crear pagina web tienda online gratis,Marketing y Ventas Digitales,USD,500,%0%,Media,37,nan,nan,
crear pagina web venta online,Marketing y Ventas Digitales,USD,500,%0%,Alta,80,1.13,4.55,
crear pagina web venta online gratis,Marketing y Ventas Digitales,USD,50,-100%,0%,Desconocida,nan,nan,nan
crear pagina web ventas,Marketing y Ventas Digitales,USD,500,%0%,Alta,93,0.82,3.73,
crear tienda de ropa online gratis,Marketing y Ventas Digitales,USD,500,%0%,Alta,100,nan,nan,
crm seo sem,Marketing y Ventas Digitales,USD,50,-100%,-100%,Desconocida,nan,nan,nan
desarrollo empresarial pymes,Estrategia y Planificación Empresarial,USD,nan,Desconocida,nan,nan,nan,nan,
desarrollo personal laboral,Propósito y Mentalidad,USD,500,%0%,Baja,13,0.25,1.18,
desarrollo personal profesionales,Propósito y Mentalidad,USD,nan,Desconocida,nan,nan,nan,nan,
desarrollo web enfocado a conversión,Marketing y Ventas Digitales,USD,nan,Desconocida,nan,nan,nan,nan,
diagnostico estrategico de una empresa,Estrategia y Planificación Empresarial,USD,500,%-90%,Baja,0,nan,nan,
diagnóstico estratégico de una empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
diagnóstico estratégico empresarial,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
diagnóstico negocio online,Estrategia y Planificación Empresarial,USD,nan,Desconocida,nan,nan,nan,nan,
diseño web que vende,Marketing y Ventas Digitales,USD,nan,Desconocida,nan,nan,nan,nan,
ejemplo de contenido de valor,Marketing y Ventas Digitales,USD,500,%0%,Baja,2,nan,nan,
ejemplo de contenido de valor en instagram,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
ejemplo de estrategia de una empresa,Estrategia y Planificación Empresarial,USD,5000%,-90%,Baja,3,0.13,0.62,
ejemplo de estrategias para una empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,1,nan,nan,
ejemplo de una estrategia de una empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
ejemplos de estrategias de crecimiento empresarial,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,5,nan,nan,
ejemplos de estrategias en empresas,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,18,nan,nan,
ejemplos de liderazgo en costos,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
ejemplos de una estrategia empresarial,Estrategia y Planificación Empresarial,USD,5000%,0%,Baja,2,0.16,0.98,
empresas con estrategia de enfoque,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
encontrar propósito negocio,Propósito y Mentalidad,USD,nan,Desconocida,nan,nan,nan,nan,
estrategia basada en evidencia,Estrategia y Planificación Empresarial,USD,nan,Desconocida,nan,nan,nan,nan,
estrategia competitiva ejemplos,Estrategia y Planificación Empresarial,USD,5000%,0%,Baja,1,nan,nan,
estrategia corporativa de una empresa ejemplo,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
estrategia de competitividad ejemplos,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
estrategia de crecimiento ejemplos de empresas,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,2,nan,nan,
estrategia de enfoque ejemplos de empresas,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
estrategia de enfoque ejemplos de empresas peruanas,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
estrategia de liderazgo en costos ejemplos de empresas mexicanas,Estrategia y Planificación Empresarial,USD,50,∞,0%,Baja,0,nan,nan
estrategia ejemplo empresa,Estrategia y Planificación Empresarial,USD,50,-100%,-100%,Desconocida,nan,nan,nan
estrategia organizacional de una empresa ejemplo,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
estrategia para una empresa ejemplos,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,16,nan,nan,
estrategia sem en marketing digital,Marketing y Ventas Digitales,USD,500,%0%,Baja,26,0.02,0.57,
estrategia sem marketing,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
estrategia seo y sem,Marketing y Ventas Digitales,USD,5000%,0%,Baja,27,0.02,0.76,
estrategias a seguir en una empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Desconocida,nan,nan,nan,
estrategias competitivas ejemplos de empresas,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
estrategias competitivas empresariales,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
estrategias de crecimiento de una empresa ejemplos,Estrategia y Planificación Empresarial,USD,50,∞,0%,Media,43,0.16,0.62
estrategias de crecimiento empresarial ejemplos,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,0,nan,nan,
estrategias de una empresa,Estrategia y Planificación Empresarial,USD,5000,900%,0%,Baja,5,0.17,0.54
estrategias dentro de una empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,5,nan,nan,
estrategias do de una empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Baja,9,nan,nan,
estrategias empresa,Estrategia y Planificación Empresarial,USD,5000%,0%,Baja,4,0.16,0.85,
estrategias en empresas ejemplos,Estrategia y Planificación Empresarial,USD,50,∞,0%,Baja,0,nan,nan
estrategias para mi empresa,Estrategia y Planificación Empresarial,USD,500,%0%,Media,57,nan,nan,
estrategias para una empresa,Estrategia y Planificación Empresarial,USD,5000,%0%,Baja,16,0.18,0.49,
estrategias sem,Marketing y Ventas Digitales,USD,5000%,0%,Baja,16,0.09,0.98,
generar contenido de valor,Marketing y Ventas Digitales,USD,500,%0%,Baja,2,nan,nan,
hacer crecer mi empresa,Estrategia y Planificación Empresarial,USD,500,%∞,Alta,67,0.23,2.02,
hacer una vida con intencionalidad,Propósito y Mentalidad,USD,nan,Desconocida,nan,nan,nan,nan,
hacienda servicios profesionales,Propósito y Mentalidad,USD,500,%0%,Baja,5,nan,nan,
herramientas automatizacion del marketing,Automatización de Procesos,USD,500,%0%,Desconocida,nan,nan,nan,
herramientas automatizacion marketing,Automatización de Procesos,USD,500,%0%,Baja,24,nan,nan,
herramientas de automatizacion de marketing,Automatización de Procesos,USD,500,900%,900%,Media,37,0.23,1.47
herramientas de automatización de marketing,Automatización de Procesos,USD,500,900%,900%,Media,37,0.23,1.47
herramientas de automatización marketing,Automatización de Procesos,USD,nan,Desconocida,nan,nan,nan,nan,
herramientas de automatizacion marketing digital,Automatización de Procesos,USD,500,%0%,Media,43,0.15,2.07,
herramientas de marketing automation,Automatización de Procesos,USD,500,%0%,Media,39,0.27,2.8,
herramientas marketing automation,Automatización de Procesos,USD,500,%0%,Baja,8,0.33,1.13,
ingeniería interna,Propósito y Mentalidad,USD,nan,Desconocida,nan,nan,nan,nan,
instagram para artesanos,Marketing y Ventas Digitales,USD,nan,Desconocida,nan,nan,nan,nan,
investigación de mercado de un restaurante,Investigación y Análisis de Mercado,USD,500,%0%,Baja,0,nan,nan,
investigación de mercado de un restaurante ejemplo,Investigación y Análisis de Mercado,USD,500,%0%,Baja,1,nan,nan,
investigacion de mercado de una panaderia,Investigación y Análisis de Mercado,USD,500,%0%,Baja,6,nan,nan,
investigacion de mercado panaderia,Investigación y Análisis de Mercado,USD,500,%∞,Baja,0,nan,nan,
investigación de mercado para negocios,Investigación y Análisis de Mercado,USD,nan,Desconocida,nan,nan,nan,nan,
la automatización del marketing,Automatización de Procesos,USD,500,%0%,Baja,14,nan,nan,
las mejores decisiones de la vida,Propósito y Mentalidad,USD,500,%0%,Baja,0,nan,nan,
las mejores decisiones se toman,Liderazgo y Toma de Decisiones,USD,500,%0%,Baja,0,nan,nan,
linkedin para profesionales independientes,Marketing y Ventas Digitales,USD,nan,Desconocida,nan,nan,nan,nan,
marketing automation herramientas,Automatización de Procesos,USD,500,%0%,Baja,8,0.33,1.13,
marketing de automatizacion,Automatización de Procesos,USD,5000%,0%,Baja,16,0.4,1.92,
marketing de automatización,Automatización de Procesos,USD,5000%,0%,Baja,16,0.4,1.92,
marketing de motores de búsqueda sem,Marketing y Ventas Digitales,USD,500,%0%,Baja,19,nan,nan,
marketing digital sem,Marketing y Ventas Digitales,USD,500,900%,0%,Baja,22,0.12,1.4
marketing digital seo sem,Marketing y Ventas Digitales,USD,500,900%,900%,Media,41,0.11,1.22
marketing digital seo y sem,Marketing y Ventas Digitales,USD,500,%0%,Baja,30,0.13,1.23,
marketing grupo sem,Marketing y Ventas Digitales,USD,0%,0%,Desconocida,nan,nan,nan,
marketing sem y seo,Marketing y Ventas Digitales,USD,50000%,0%,Baja,22,0.02,0.91,
marketing seo y sem,Marketing y Ventas Digitales,USD,500,%0%,Media,39,0.01,0.88,
mejores decisiones,Liderazgo y Toma de Decisiones,USD,5000%,0%,Baja,0,nan,nan,
mercadotecnia en motores de búsqueda,Marketing y Ventas Digitales,USD,500,%0%,Baja,28,0.31,0.55,
negocio con significado y propósito,Propósito y Mentalidad,USD,nan,Desconocida,nan,nan,nan,nan,
negocio local marketing,Marketing y Ventas Digitales,USD,nan,Desconocida,nan,nan,nan,nan,
neurociencia para emprendedores,Propósito y Mentalidad,USD,nan,Desconocida,nan,nan,nan,nan,
online marketing sem,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
online marketing seo sem,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
paginas para crear tiendas virtuales gratis,Marketing y Ventas Digitales,USD,500,%0%,Alta,81,0.32,1.17,
paginas para crear una tienda virtual gratis,Marketing y Ventas Digitales,USD,500,%0%,Alta,86,nan,nan,
pensamiento critico reflexivo,Propósito y Mentalidad,USD,5000%,0%,Baja,0,nan,nan,
pensamiento critico reflexivo en la educacion,Propósito y Mentalidad,USD,500,%0%,Baja,0,nan,nan,
pensamiento critico reflexivo y creativo,Propósito y Mentalidad,USD,500,%0%,Baja,0,nan,nan,
pensamiento crítico y reflexivo pdf,Propósito y Mentalidad,USD,500,%0%,Baja,0,nan,nan,
pensamiento reflexivo,Propósito y Mentalidad,USD,50000%,0%,Baja,0,nan,nan,
pensamientos reflexivos cortos,Propósito y Mentalidad,USD,500,%0%,Baja,2,nan,nan,
plataforma de automatización de marketing,Automatización de Procesos,USD,500,%0%,Media,56,0.44,2.5,
plataformas de automatización de marketing,Automatización de Procesos,USD,500,%0%,Media,53,0.43,2.94,
plataformas de marketing automation,Automatización de Procesos,USD,500,%0%,Media,39,0.55,3.21,
posicionamiento sem,Marketing y Ventas Digitales,USD,5000%,0%,Baja,20,0.1,1.97,
posicionamiento seo para pymes,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
posicionamiento seo y sem,Marketing y Ventas Digitales,USD,5000%,0%,Baja,32,0.16,1.58,
posicionamiento web para pymes,Marketing y Ventas Digitales,USD,500,%0%,Baja,25,nan,nan,
posicionamiento web pymes,Marketing y Ventas Digitales,USD,50,-100%,-100%,Desconocida,nan,nan,nan
productividad profesionales,Productividad y Optimización,USD,nan,Desconocida,nan,nan,nan,nan,
profesionales independientes,Propósito y Mentalidad,USD,5000%,0%,Baja,0,nan,nan,
profesionistas independientes,Propósito y Mentalidad,USD,500,%0%,Baja,3,nan,nan,
psicología aplicada a negocios,Propósito y Mentalidad,USD,nan,Desconocida,nan,nan,nan,nan,
publicidad de sem,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
publicidad sem,Marketing y Ventas Digitales,USD,5000%,0%,Baja,24,0.08,1.77,
pymes crecimiento estratégico,Estrategia y Planificación Empresarial,USD,nan,Desconocida,nan,nan,nan,nan,
reinventa tu vida cómo tomar mejores decisiones mario javier vaena,Liderazgo y Toma de Decisiones,USD,500,%0%,Media,39,nan,nan,
sea sem,Marketing y Ventas Digitales,USD,500,%0%,Baja,14,nan,nan,
sem digital,Marketing y Ventas Digitales,USD,500,%0%,Baja,13,0.13,1.59,
sem en marketing,Marketing y Ventas Digitales,USD,5000%,0%,Baja,17,0.04,1.29,
sem en marketing digital,Marketing y Ventas Digitales,USD,500,%0%,Baja,16,0.07,1.01,
sem estrategia de marketing,Marketing y Ventas Digitales,USD,500,%0%,Baja,29,0.11,0.47,
sem marketing digital,Marketing y Ventas Digitales,USD,500,900%,0%,Baja,22,0.12,1.4
sem que es en marketing,Marketing y Ventas Digitales,USD,500,%0%,Baja,18,0.02,0.43,
sem que es marketing,Marketing y Ventas Digitales,USD,500,%0%,Baja,19,0.01,0.52,
sem redes sociales,Marketing y Ventas Digitales,USD,500,%0%,Baja,17,0.22,0.88,
sem y seo marketing,Marketing y Ventas Digitales,USD,50000%,0%,Baja,22,0.02,0.91,
seo para autonomos,Marketing y Ventas Digitales,USD,500,%-100%,Desconocida,nan,nan,nan,
seo para microempresas,Marketing y Ventas Digitales,USD,500,%∞,Baja,0,nan,nan,
seo para pequeñas empresas,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
seo para pymes,Marketing y Ventas Digitales,USD,500,%900%,Baja,5,0.98,3.19,
seo pymes,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
seo sem marketing digital,Marketing y Ventas Digitales,USD,500,900%,900%,Media,41,0.11,1.22
seo sostenible para pymes,Marketing y Ventas Digitales,USD,500,%0%,Desconocida,nan,nan,nan,
seo y sem en marketing digital,Marketing y Ventas Digitales,USD,500,%0%,Media,36,0.23,0.95,
seo y sem marketing,Marketing y Ventas Digitales,USD,50000%,0%,Baja,22,0.02,0.91,
seo y sem marketing digital,Marketing y Ventas Digitales,USD,500,%0%,Media,35,0.25,2.19,
seo y sem marketing online,Marketing y Ventas Digitales,USD,50,∞,0%,Baja,0,nan,nan
seo y sem marketing que es,Marketing y Ventas Digitales,USD,500,%0%,Baja,28,0.01,0.35,
seoparapymes,Marketing y Ventas Digitales,USD,0%,-100%,Desconocida,nan,nan,nan,
seoparapymes com,Marketing y Ventas Digitales,USD,0%,0%,Desconocida,nan,nan,nan,
seoparapymes net,Marketing y Ventas Digitales,USD,0%,0%,Desconocida,nan,nan,nan,
servicio profesionales independientes,Propósito y Mentalidad,USD,5000%,0%,Baja,0,nan,nan,
servicios de profesionales independientes,Propósito y Mentalidad,USD,500,%0%,Baja,1,nan,nan,
servicios de profesionales independientes contabilidad,Propósito y Mentalidad,USD,500,%0%,Baja,0,nan,nan,
servicios profesionales independientes contabilidad,Propósito y Mentalidad,USD,500,%0%,Desconocida,nan,nan,nan,
servicios profesionales independientes irpf,Propósito y Mentalidad,USD,500,%0%,Desconocida,nan,nan,nan,
social ads para emprendedores,Marketing y Ventas Digitales,USD,nan,Desconocida,nan,nan,nan,nan,
superar sesgos cognitivos negocios,Propósito y Mentalidad,USD,nan,Desconocida,nan,nan,nan,nan,
tipos de contenido de valor,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,
tomar las mejores decisiones,Liderazgo y Toma de Decisiones,USD,500,%0%,Baja,0,nan,nan,
tomar mejores decisiones,Liderazgo y Toma de Decisiones,USD,5000%,0%,Baja,1,nan,nan,
valor de contenido,Marketing y Ventas Digitales,USD,500,%0%,Baja,0,nan,nan,